#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-09-04T10:00:48 [V7.32.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-09-04T10:00:49	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/AJ/159/57&tab:{J/AJ/159/57/table9}&key:source=J/AJ/159/57/table9&HTTPPRM:&
#-source=J/AJ/159/57/table9
#-order=I
#-out=Mb/M*
#-out=Perb
#-out=ecoswb
#-out=esinwb
#-out=T0b
#-out=Mc/M*
#-out=Perc
#-out=ecoswc
#-out=esinwc
#-out=T0c
#-out=Md/M*
#-out=Perd
#-out=ecoswd
#-out=esinwd
#-out=T0d
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.4	
#INFO	-out.max=unlimited	
#
#RESOURCE=yCat_51590057
#Name: J/AJ/159/57
#Title: HST spectroscopic LCs of Kepler 51b & 51d (Libby-Roberts+, 2020)
#INFO	ivoid=ivo://cds.vizier/j/aj/159/57	
#INFO	publisher=CDS	
#INFO	creator=Libby-Roberts J.E.	
#INFO	related_resource=bibcode:2020AJ....159...57L	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/159/57	
#INFO	publication_id=doi:10.26093/cds/vizier.51590057	
#INFO	publication_date=2022-05-11	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_AJ_159_57_table9:
#Name: J/AJ/159/57/table9
#Title: *Markov Chain Monte Carlo (MCMC) samples from our transit timing variations (TTV) analysis
#Column	Mb/M*	(D14.7)	Planet "b" to star mass ratio	[ucd=phys.mass;arith.ratio]
#Column	Perb	(D14.7)	[45.1528/45.156] Orbital period, planet "b"	[ucd=time.period]
#Column	ecoswb	(D13.6)	[-0.21/0.03] Sqrt(e_b_)Cos({omega}_b_), planet "b" (1)	[ucd=src.orbital]
#Column	esinwb	(D13.6)	[-0.3/0.05] Sqrt(e_b_)Sin({omega}_b_), planet "b" (1)	[ucd=src.orbital]
#Column	T0b	(D14.7)	[159.1/159.2] Time, first inferior conjunction, planet "b" (2)	[ucd=time.epoch]
#Column	Mc/M*	(D14.7)	Planet "c" to star mass ratio	[ucd=phys.mass;arith.ratio]
#Column	Perc	(D14.7)	[85.3/85.321] Orbital period, planet "c"	[ucd=time.period]
#Column	ecoswc	(D13.6)	[-0.173/0.235] Sqrt(e_c_)Cos({omega}_c_), planet "c" (1)	[ucd=src.orbital]
#Column	esinwc	(D13.6)	[-0.312/0.19] Sqrt(e_c_)Sin({omega}_c_), planet "c" (1)	[ucd=src.orbital]
#Column	T0c	(D14.7)	[295.309/295.332] Time, first inferior conjunction, planet "c" (2)	[ucd=time.epoch]
#Column	Md/M*	(D14.7)	Planet "d" to star mass ratio	[ucd=phys.mass;arith.ratio]
#Column	Perd	(D14.7)	[130.1819/130.188] Orbital Period, planet "d"	[ucd=time.period]
#Column	ecoswd	(D13.6)	[-0.17/0.21] Sqrt(e_d_)Cos({omega}_d_), planet "d" (1)	[ucd=src.orbital]
#Column	esinwd	(D13.6)	[-0.282/0.17] Sqrt(e_d_)Sin({omega}_d_), planet "d" (1)	[ucd=src.orbital]
#Column	T0d	(D14.7)	[212.021/212.0261] Time, first inferior conjunction, planet "d" (2)	[ucd=time.epoch]
Mb/M*|Perb|ecoswb|esinwb|T0b|Mc/M*|Perc|ecoswc|esinwc|T0c|Md/M*|Perd|ecoswd|esinwd|T0d
# |d| | |d| |d| | |d| |d| | |d
#--------------|--------------|-------------|-------------|--------------|--------------|--------------|-------------|-------------|--------------|--------------|--------------|-------------|-------------|--------------
 1.3081041e-05| 4.5154192e+01|-1.240750e-01|-1.607140e-01| 1.5911149e+02| 1.1698996e-05| 8.5314266e+01|-8.643800e-02|-6.324500e-02| 2.9532121e+02| 1.5841936e-05| 1.3018520e+02|-9.865700e-02|-5.402600e-02| 2.1202397e+02
 1.4846932e-05| 4.5154161e+01|-1.192950e-01|-9.986000e-02| 1.5911005e+02| 1.3933360e-05| 8.5314377e+01| 4.245800e-02| 2.084600e-02| 2.9532137e+02| 1.8419806e-05| 1.3018555e+02|-3.602200e-02| 2.521000e-02| 2.1202298e+02
 1.7753894e-05| 4.5153985e+01|-1.306030e-01|-1.481100e-01| 1.5911106e+02| 1.2984651e-05| 8.5317009e+01| 4.272000e-03|-2.528400e-02| 2.9531759e+02| 1.6425520e-05| 1.3018536e+02|-6.153100e-02| 4.360000e-04| 2.1202262e+02
 1.0080666e-05| 4.5154431e+01|-9.118700e-02|-7.744900e-02| 1.5911064e+02| 1.5353288e-05| 8.5312849e+01| 1.887400e-02|-4.937100e-02| 2.9532225e+02| 1.7036283e-05| 1.3018509e+02|-4.577400e-02|-2.031400e-02| 2.1202263e+02
 1.1117857e-05| 4.5154224e+01|-7.862100e-02|-1.711360e-01| 1.5911070e+02| 1.3507926e-05| 8.5313677e+01| 4.106200e-02|-1.096900e-01| 2.9532047e+02| 1.7686415e-05| 1.3018480e+02| 6.075000e-03|-1.000700e-01| 2.1202319e+02
 1.8287963e-05| 4.5154490e+01|-7.963800e-02|-1.668030e-01| 1.5911036e+02| 1.4578909e-05| 8.5312565e+01|-7.764500e-02|-1.948710e-01| 2.9531872e+02| 2.3150826e-05| 1.3018566e+02|-8.554600e-02|-1.680360e-01| 2.1202414e+02
 4.0423508e-06| 4.5154210e+01|-8.370900e-02|-2.364460e-01| 1.5911142e+02| 1.1454584e-05| 8.5312785e+01|-5.005000e-03|-1.925020e-01| 2.9532123e+02| 1.4689866e-05| 1.3018382e+02|-2.605700e-02|-1.733970e-01| 2.1202411e+02
 1.3045420e-05| 4.5154199e+01|-1.263610e-01|-8.775800e-02| 1.5910992e+02| 1.3555219e-05| 8.5315211e+01| 4.078900e-02|-5.982500e-02| 2.9532253e+02| 1.5219742e-05| 1.3018461e+02|-2.080500e-02|-4.696900e-02| 2.1202374e+02
 1.2976899e-05| 4.5154142e+01|-1.280050e-01|-9.053500e-02| 1.5911011e+02| 1.4875642e-05| 8.5314394e+01| 1.491600e-02|-2.806100e-02| 2.9532136e+02| 1.6719403e-05| 1.3018510e+02|-5.077100e-02| 1.063400e-02| 2.1202303e+02
 5.3073301e-06| 4.5154116e+01|-8.143100e-02|-1.844330e-01| 1.5911128e+02| 1.1836897e-05| 8.5310519e+01| 6.836400e-02| 1.320600e-02| 2.9532200e+02| 2.2665776e-05| 1.3018371e+02| 5.181000e-03| 1.867300e-02| 2.1202382e+02
 1.6759157e-05| 4.5154136e+01|-9.885600e-02|-1.506310e-01| 1.5911064e+02| 1.2262626e-05| 8.5315268e+01| 7.589300e-02|-2.776400e-02| 2.9531745e+02| 1.8448369e-05| 1.3018491e+02| 2.363800e-02|-3.923000e-02| 2.1202350e+02
 1.7047176e-05| 4.5154243e+01|-1.092190e-01|-1.174750e-01| 1.5910984e+02| 1.3094158e-05| 8.5315889e+01| 5.928800e-02|-6.496000e-03| 2.9531809e+02| 1.5855211e-05| 1.3018531e+02|-2.621300e-02|-2.839000e-03| 2.1202395e+02
