N,tc,tcerr,pidx,Over
0,159.11167244444445,0.001388888888888889,1,0
1,204.2642571111111,0.0006944444444444445,1,0
2,249.41614733333333,0.0006944444444444445,1,0
3,294.57484311111114,0.001388888888888889,1,0
4,339.72715,0.001388888888888889,1,0
5,384.87952633333333,0.0006944444444444445,1,0
6,430.0349582222222,0.0006944444444444445,1,0
8,520.3435293333333,0.001388888888888889,1,0
9,565.5022251111111,0.001388888888888889,1,0
10,610.658907,0.0006944444444444445,1,0
11,655.8151722222221,0.001388888888888889,1,0
12,700.9756735555555,0.001388888888888889,1,0
13,746.1283971111111,0.001388888888888889,1,0
14,791.2891762222223,0.001388888888888889,1,0
15,836.4413442222221,0.001388888888888889,1,0
16,881.5999001111111,0.0006944444444444445,1,0
17,926.7541514444445,0.001388888888888889,1,0
18,971.9072916666668,0.001388888888888889,1,0
19,1017.0624457777777,0.001388888888888889,1,0
20,1062.2134332222222,0.001388888888888889,1,0
21,1107.3672678888888,0.0006944444444444445,1,0
22,1152.5195747777777,0.001388888888888889,1,0
23,1197.6785483333333,0.001388888888888889,1,0
24,1242.831270888889,0.001388888888888889,1,0
25,1287.9844805555554,0.0006944444444444445,1,0
26,1333.143454111111,0.0006944444444444445,1,0
27,1378.2994415555556,0.001388888888888889,1,0
28,1423.455290111111,0.001388888888888889,1,0
29,1468.6136386666667,0.001388888888888889,1,0
30,1513.7822233333334,0.0006944444444444445,1,1
0,209.99717733333333,0.006944444444444444,2,0
1,295.31291855555554,0.004166666666666667,2,0
2,380.6412302222222,0.003472222222222222,2,0
3,465.9516242222222,0.002777777777777778,2,0
4,551.2608376666666,0.004166666666666667,2,0
5,636.5653298888889,0.003472222222222222,2,0
8,892.5162351111111,0.004166666666666667,2,0
9,977.8398235555555,0.004166666666666667,2,0
11,1148.4627653333334,0.004166666666666667,2,0
12,1233.8078815555557,0.003472222222222222,2,0
13,1319.107859888889,0.005555555555555556,2,0
15,1489.7524673333332,0.003472222222222222,2,0
16,1575.0681401111112,0.004166666666666667,2,0
0,212.02648472222222,0.0006944444444444445,3,0
1,342.2084193888889,0.0006944444444444445,3,0
2,472.3935147777778,0.000625,3,0
3,602.5758462777778,0.000625,3,0
5,862.9335717777777,0.0006944444444444445,3,0
6,993.1064379999999,0.0006944444444444445,3,0
7,1123.2857139444445,0.0006944444444444445,3,0
8,1253.4517944444444,0.000625,3,0
9,1383.6321259444446,0.000625,3,0
10,1513.7852838333333,0.000625,3,1
