   N     T0          sigma_T0     T14     sigma_T14   lc_type
   0     136.30647        1.2     288.2         5.2        LC
   1     175.33153        1.9     289.9         4.4        LC
   2     214.33540        1.1     279.2         4.6        LC
   3     253.31307        2.7     288.2         7.4        LC
   4     292.26268        1.9     282.1         6.0        LC
   5     331.18362        3.0     282.8         6.4        LC
   6     370.07149        1.4     282.6         6.5        LC
   7     408.93046        1.2     278.8         4.1        LC
   8     447.76445        2.4     275.2         4.9        LC
   9     486.57761        1.8     278.2         5.4        LC
  10     525.37759        2.1     281.0         5.8        LC
  11     564.17002        2.2     272.3         7.1        LC
  12     602.95862        1.0     275.9         5.6        LC
  13     641.75308        1.0     272.5         4.5        SC
  14     680.56199        1.1     272.9         4.7        SC
  15     719.38670        1.1     282.6         5.5        SC
  16     758.23782        1.2     281.4         4.2        SC
  17     797.11242        1.2     277.9         6.3        SC
  18     836.02149        1.1     272.9         5.9        SC
  19     874.96449        1.0     268.2         3.5        SC
  20     913.93466        1.3     280.5         6.7        SC
  21     952.93649        1.0     270.1         5.2        SC
  22     991.95896        1.1     269.0         4.9        SC
  23    1031.00051        1.1     270.8         4.3        SC
  25    1109.11723        1.1     270.8         5.6        SC
  26    1148.18640        1.6     262.1         8.8        SC
  27    1187.25811        1.1     270.3         6.0        SC
  28    1226.33149        1.0     268.6         4.3        SC
  29    1265.40498        1.2     270.0         5.2        SC
  30    1304.47841        1.1     272.2         4.8        SC
  31    1343.55290        1.1     273.0         5.3        SC
  32    1382.62682        1.1     277.4         5.7        SC
  33    1421.69739        1.2     279.6         6.1        SC
  34    1460.76668        1.1     283.1         5.8        SC
  35    1499.83446        1.0     270.5         4.4        SC
  36    1538.90211        1.0     265.3         4.3        SC
  37    1577.96028        1.2     277.0         7.9        SC
