Epoch,Time [BJD-2454833],Uncertainty [days],Planet,Facility
0,2231.283228,0.001973,b,k2
1,2239.532719,0.004451,b,k2
2,2247.772273,0.009823,b,k2
3,2256.03499,0.00578,b,k2
4,2264.257994,0.006396,b,k2
5,2272.531131,0.0018,b,k2
6,2280.797177,0.006728,b,k2
7,2289.022603,0.006661,b,k2
8,2297.269538,0.003411,b,k2
210,3963.609949,0.00987,b,followup
211,3971.852203,0.002989,b,followup
214,3996.593357,0.007206,b,followup
216,4013.095146,0.001269,b,followup
218,4029.599739,0.002085,b,followup
222,4062.584609,0.001931,b,followup
293,4648.165726,0.004718,b,tess
294,4656.400514,0.007358,b,tess
296,4672.900202,0.004505,b,tess
298,4689.397838,0.006901,b,tess
339,5027.670993,0.004579,b,followup
351,5126.673171,0.004751,b,followup
383,5390.706089,0.002783,b,followup
384,5398.959961,0.00203,b,followup
385,5407.209161,0.00171,b,followup
387,5423.71777,0.002277,b,followup
388,5431.95622,0.00061,b,followup
390,5448.454705,0.001707,b,followup
391,5456.700794,0.001534,b,followup
394,5481.469763,0.002686,b,followup
395,5489.709013,0.004911,b,followup
400,5530.953583,0.002085,b,followup
0,2239.389879,0.003885,c,k2
1,2251.791345,0.00297,c,k2
2,2264.209352,0.00692,c,k2
3,2276.599052,0.003493,c,k2
4,2289.022049,0.006112,c,k2
143,4012.797991,0.002708,c,followup
166,4298.097775,0.004078,c,followup
171,4360.118544,0.002421,c,followup
194,4645.411558,0.002691,c,tess
195,4657.817134,0.003279,c,tess
196,4670.213065,0.00265,c,tess
197,4682.606351,0.003953,c,tess
227,5054.595463,0.000844,c,followup
228,5066.994304,0.001356,c,followup
229,5079.389384,0.001353,c,followup
232,5116.582405,0.004051,c,followup
235,5153.755639,0.007173,c,followup
255,5401.748821,0.001677,c,followup
258,5438.957792,0.001559,c,followup
260,5463.755759,0.00395,c,followup
261,5476.154694,0.002758,c,followup
263,5500.965282,0.0022,c,followup
0,2234.048419,0.001995,d,k2
1,2258.189816,0.000695,d,k2
2,2282.325395,0.002992,d,k2
65,3803.240592,0.001593,d,followup
74,4020.500562,0.00046,d,followup
86,4310.163784,0.000612,d,followup
100,4648.088628,0.001837,d,tess
101,4672.228849,0.001504,d,tess
117,5058.425089,0.005071,d,followup
118,5082.567772,0.001815,d,followup
119,5106.712243,0.005482,d,followup
122,5179.131001,0.002404,d,followup
128,5323.96642,0.00201,d,followup
129,5348.110524,0.004306,d,followup
134,5468.807193,0.001497,d,followup
136,5517.08757,0.001983,d,followup
137,5541.222727,0.004075,d,followup
0,2263.622871,0.002485,e,k2
49,4648.798288,0.001316,e,tess
57,5038.250303,0.00263,e,followup
59,5135.609979,0.003328,e,followup
65,5427.681027,0.002505,e,followup
66,5476.346504,0.003551,e,followup
